City,Google Maps Link,Business Name,Rate,Specialty,Address,Phone,Notes
Newark,https://www.google.com/maps/place/Nutrition+By+Nada/data=!4m7!3m6!1s0x89c2539cdc44642f:0xe79dc892c036747e!8m2!3d40.7306832!4d-74.1675436!16s%2Fg%2F11tn9kqd3d!19sChIJL2RE3JxTwokRfnQ2wJLInec?authuser=0&hl=en&rclk=1,Nutrition By Nada,5,Dietitian,142 Lafayette St,(929) 318-5335,"""To be sure, Nada is professional and knowledgeable."""
Newark,https://www.google.com/maps/place/Lenzy%27s+Nutrition+Center/data=!4m7!3m6!1s0x89c2537f8b8e9bc9:0xe1934888849cc06f!8m2!3d40.7406802!4d-74.1713068!16s%2Fg%2F11bz_2fslz!19sChIJyZuOi39TwokRb8CchIhIk-E?authuser=0&hl=en&rclk=1,Lenzy's Nutrition Center,5,Nutritionist,55 Halsey St,(213) 465-4721,
Newark,https://www.google.com/maps/place/Jacqueline+Hayar-+Health+Coaching+Nutrition/data=!4m7!3m6!1s0x89c253c0578c82c7:0xd014708a361c7438!8m2!3d40.7288477!4d-74.1519572!16s%2Fg%2F11sqz1ll5d!19sChIJx4KMV8BTwokROHQcNopwFNA?authuser=0&hl=en&rclk=1,Jacqueline Hayar- Health Coaching Nutrition,5,Nutritionist,278 Ferry St,(973) 960-8052,"""I lost 3 lbs in 2 weeks no major efforts or crazy changes"""
Newark,"https://www.google.com/maps/place/Ilana+Dubrovsky-Razam,+RD+-+Dietitian+Nutritionist/data=!4m7!3m6!1s0x89c3ad24453d18f1:0xdc8da44534d1deaf!8m2!3d40.7372817!4d-74.260387!16s%2Fg%2F11w584krmq!19sChIJ8Rg9RSStw4kRr97RNEWkjdw?authuser=0&hl=en&rclk=1","Ilana Dubrovsky-Razam, RD - Dietitian Nutritionist",5,Nutritionist,428 Prospect St,(617) 982-3658,"""Always easy to talk with and encouraging"""
Newark,"https://www.google.com/maps/place/Girlene+Coughlin,+Dietitian+Nutritionist,+Certified+Diabetes+Care+%26+Education+Specialist/data=!4m7!3m6!1s0x89c25390e18baaab:0xa04c681ec7483d67!8m2!3d40.6641719!4d-74.1552715!16s%2Fg%2F11hcyssgw0!19sChIJq6qL4ZBTwokRZz1Ixx5oTKA?authuser=0&hl=en&rclk=1","Girlene Coughlin, Dietitian Nutritionist, Certified Diabetes Care & Education Specialist",,Nutritionist,��,(908) 616-7410,Online appointments
Newark,https://www.google.com/maps/place/New+Life+Nutritional+Center/data=!4m7!3m6!1s0x89c253906a898b29:0x4f4b162823fd8638!8m2!3d40.729013!4d-74.157614!16s%2Fg%2F11cs2hdh_b!19sChIJKYuJapBTwokROIb9IygWS08?authuser=0&hl=en&rclk=1,New Life Nutritional Center,5,Nutritionist,114 Jackson St,,
Newark,"https://www.google.com/maps/place/Paula+L.+Clinton,+DTR/data=!4m7!3m6!1s0x89c252b1b24f3cdb:0x2f9b5c90640c327!8m2!3d40.6799186!4d-74.2091854!16s%2Fg%2F1vgqd_hq!19sChIJ2zxPsrFSwokRJ8NABsm1-QI?authuser=0&hl=en&rclk=1","Paula L. Clinton, DTR",5,Nutritionist,701 Newark Ave,(973) 399-6292,
Newark,https://www.google.com/maps/place/Nutrition+%26+Health+Center+Inc./data=!4m7!3m6!1s0x89c3b2ae80ae28b5:0xeb9bc9c7ef24888c!8m2!3d40.6629928!4d-74.2241285!16s%2Fg%2F11f_4s6fvy!19sChIJtSiugK6yw4kRjIgk78fJm-s?authuser=0&hl=en&rclk=1,Nutrition & Health Center Inc.,4.6,Weight loss service,��,(908) 469-9440,"""I lost 15 pounds working with our"
Newark,"https://www.google.com/maps/place/Danielle+Stark+Nutrition,+Registered+Dietitian+Nutritionist/data=!4m7!3m6!1s0x247b1deb0ded8a41:0xa3b11ca3389c8953!8m2!3d40.7813047!4d-73.9771184!16s%2Fg%2F11nnjh234q!19sChIJQYrtDesdeyQRU4mcOKMcsaM?authuser=0&hl=en&rclk=1","Danielle Stark Nutrition, Registered Dietitian Nutritionist",4.9,Dietitian,,(973) 954-0666,"""With her guidance, I lost almost 20 pounds in 90 days."""
Newark,https://www.google.com/maps/place/Brianna+Koleva+-+FYT+Nutrition+%26+Training/data=!4m7!3m6!1s0x9aa9e3db51a9fdd:0xa657ec29cf09b982!8m2!3d40.7064445!4d-74.1012775!16s%2Fg%2F11lcbglqf5!19sChIJ3Z8atT2eqgkRgrkJzynsV6Y?authuser=0&hl=en&rclk=1,Brianna Koleva - FYT Nutrition & Training,5,Nutritionist,��,(917) 994-1625,"""What sets her apart is her exceptional skill in customizing meal plans."""
Newark,"https://www.google.com/maps/place/Melanie+Daniel,+RD+-+Dietitian+Nutritionist/data=!4m7!3m6!1s0x89c2531e465c3e8d:0x70e3f8b89ee71764!8m2!3d40.740024!4d-74.1578754!16s%2Fg%2F11y73_266g!19sChIJjT5cRh5TwokRZBfnnrj443A?authuser=0&hl=en&rclk=1","Melanie Daniel, RD - Dietitian Nutritionist",,Nutritionist,777 S 3rd St,(617) 982-3658,
Newark,https://www.google.com/maps/place/The+Balanced+Diet+LLC/data=!4m7!3m6!1s0x6ef48414ed4a6d65:0xf6a208bb94e39a6e!8m2!3d40.237729!4d-74.8506264!16s%2Fg%2F11rylty6zq!19sChIJZW1K7RSE9G4RbprjlLsIovY?authuser=0&hl=en&rclk=1,The Balanced Diet LLC,5,Dietitian,��,(347) 644-8747,"""She���������s ex"
Newark,https://www.google.com/maps/place/Total+Health+Nutrition+by+Lex/data=!4m7!3m6!1s0x89c25562adef6b0b:0x1b31660c40919eea!8m2!3d40.073132!4d-74.724323!16s%2Fg%2F11jtlmk2cs!19sChIJC2vvrWJVwokR6p6RQAxmMRs?authuser=0&hl=en&rclk=1,Total Health Nutrition by Lex,5,Nutritionist,,,
Newark,https://www.google.com/maps/place/Well+Made+Nutrition/data=!4m7!3m6!1s0x89c255521d4cdf4d:0x356b962d4393d3e1!8m2!3d40.9229686!4d-74.1985954!16s%2Fg%2F11g6r1yg35!19sChIJTd9MHVJVwokR4dOTQy2WazU?authuser=0&hl=en&rclk=1,Well Made Nutrition,5,Nutritionist,,,
Newark,"https://www.google.com/maps/place/Karen+S.+Basedow,+RD/data=!4m7!3m6!1s0x89c2532a1c20ceef:0xf5a5c0d9dc409264!8m2!3d40.7090584!4d-74.2124756!16s%2Fg%2F1tfx5tfz!19sChIJ784gHCpTwokRZJJA3NnApfU?authuser=0&hl=en&rclk=1","Karen S. Basedow, RD",5,Nutritionist,166 Lyons Ave,(973) 926-3312,"""very knowledgeable, amazing personality."""
Newark,https://www.google.com/maps/place/Transformherhealth/data=!4m7!3m6!1s0x89c2556922f72771:0x7f653d0cfbfc16f1!8m2!3d40.7433135!4d-74.207779!16s%2Fg%2F11pzk1dq0q!19sChIJcSf3ImlVwokR8Rb8-ww9ZX8?authuser=0&hl=en&rclk=1,Transformherhealth,5,Coaching center,511 S Orange Ave,,Online appointments
Newark,https://www.google.com/maps/place/Esjacio+Saludable+Llc*DrJimmy%27s+Herbs/data=!4m7!3m6!1s0x89c253910d052c93:0xaea8657bea5761d7!8m2!3d40.7270143!4d-74.1549274!16s%2Fg%2F1pty_zmt7!19sChIJkywFDZFTwokR12FX6ntlqK4?authuser=0&hl=en&rclk=1,Esjacio Saludable Llc*DrJimmy's Herbs,4.9,Health food store,32 Wilson Ave,(862) 452-5709,In-store shopping
