id,cityId,name,businessName,googleMapsUrl,rating,specialty,address,phone,bio,notes
1,116,Nada Khalil,Nutrition By Nada,https://www.google.com/maps/place/Nutrition+By+Nada/data=!4m7!3m6!1s0x89c2539cdc44642f:0xe79dc892c036747e!8m2!3d40.7306832!4d-74.1675436!16s%2Fg%2F11tn9kqd3d!19sChIJL2RE3JxTwokRfnQ2wJLInec?authuser=0&hl=en&rclk=1,5,Dietitian,142 Lafayette St,(929) 318-5335,"""To be sure, Nada is professional and knowledgeable.""","To be sure, Nada is professional and knowledgeable."
2,116,Lenzy Johnson,Lenzy's Nutrition Center,https://www.google.com/maps/place/Lenzy%27s+Nutrition+Center/data=!4m7!3m6!1s0x89c2537f8b8e9bc9:0xe1934888849cc06f!8m2!3d40.7406802!4d-74.1713068!16s%2Fg%2F11bz_2fslz!19sChIJyZuOi39TwokRb8CchIhIk-E?authuser=0&hl=en&rclk=1,5,Nutritionist,55 Halsey St,(213) 465-4721,,
3,116,Jacqueline Hayar,Jacqueline Hayar- Health Coaching Nutrition,https://www.google.com/maps/place/Jacqueline+Hayar-+Health+Coaching+Nutrition/data=!4m7!3m6!1s0x89c253c0578c82c7:0xd014708a361c7438!8m2!3d40.7288477!4d-74.1519572!16s%2Fg%2F11sqz1ll5d!19sChIJx4KMV8BTwokROHQcNopwFNA?authuser=0&hl=en&rclk=1,5,Nutritionist,278 Ferry St,(973) 960-8052,"""I lost 3 lbs in 2 weeks no major efforts or crazy changes""",I lost 3 lbs in 2 weeks no major efforts or crazy changes
4,116,Ilana Dubrovsky-Razam,"Ilana Dubrovsky-Razam, RD - Dietitian Nutritionist","https://www.google.com/maps/place/Ilana+Dubrovsky-Razam,+RD+-+Dietitian+Nutritionist/data=!4m7!3m6!1s0x89c3ad24453d18f1:0xdc8da44534d1deaf!8m2!3d40.7372817!4d-74.260387!16s%2Fg%2F11w584krmq!19sChIJ8Rg9RSStw4kRr97RNEWkjdw?authuser=0&hl=en&rclk=1",5,Nutritionist,428 Prospect St,(617) 982-3658,"""Always easy to talk with and encouraging""",Always easy to talk with and encouraging
5,116,Girlene Coughlin,"Girlene Coughlin, Dietitian Nutritionist, Certified Diabetes Care & Education Specialist","https://www.google.com/maps/place/Girlene+Coughlin,+Dietitian+Nutritionist,+Certified+Diabetes+Care+%26+Education+Specialist/data=!4m7!3m6!1s0x89c25390e18baaab:0xa04c681ec7483d67!8m2!3d40.6641719!4d-74.1552715!16s%2Fg%2F11hcyssgw0!19sChIJq6qL4ZBTwokRZz1Ixx5oTKA?authuser=0&hl=en&rclk=1",,Nutritionist,ýýýýýý,(908) 616-7410,Online appointments,Online appointments available
6,116,,New Life Nutritional Center,https://www.google.com/maps/place/New+Life+Nutritional+Center/data=!4m7!3m6!1s0x89c253906a898b29:0x4f4b162823fd8638!8m2!3d40.729013!4d-74.157614!16s%2Fg%2F11cs2hdh_b!19sChIJKYuJapBTwokROIb9IygWS08?authuser=0&hl=en&rclk=1,5,Nutritionist,114 Jackson St,,,
7,116,,"Paula L. Clinton, DTR","https://www.google.com/maps/place/Paula+L.+Clinton,+DTR/data=!4m7!3m6!1s0x89c252b1b24f3cdb:0x2f9b5c90640c327!8m2!3d40.6799186!4d-74.2091854!16s%2Fg%2F1vgqd_hq!19sChIJ2zxPsrFSwokRJ8NABsm1-QI?authuser=0&hl=en&rclk=1",5,Nutritionist,701 Newark Ave,(973) 399-6292,,
8,116,,Nutrition & Health Center Inc.,https://www.google.com/maps/place/Nutrition+%26+Health+Center+Inc./data=!4m7!3m6!1s0x89c3b2ae80ae28b5:0xeb9bc9c7ef24888c!8m2!3d40.6629928!4d-74.2241285!16s%2Fg%2F11f_4s6fvy!19sChIJtSiugK6yw4kRjIgk78fJm-s?authuser=0&hl=en&rclk=1,4.6,Weight loss service,,(908) 469-9440,"""I lost 15 pounds working with our",
9,116,,"Danielle Stark Nutrition, Registered Dietitian Nutritionist","https://www.google.com/maps/place/Danielle+Stark+Nutrition,+Registered+Dietitian+Nutritionist/data=!4m7!3m6!1s0x247b1deb0ded8a41:0xa3b11ca3389c8953!8m2!3d40.7813047!4d-73.9771184!16s%2Fg%2F11nnjh234q!19sChIJQYrtDesdeyQRU4mcOKMcsaM?authuser=0&hl=en&rclk=1",4.9,Dietitian,,(973) 954-0666,"""With her guidance, I lost almost 20 pounds in 90 days.""",
10,116,,Brianna Koleva - FYT Nutrition & Training,https://www.google.com/maps/place/Brianna+Koleva+-+FYT+Nutrition+%26+Training/data=!4m7!3m6!1s0x9aa9e3db51a9fdd:0xa657ec29cf09b982!8m2!3d40.7064445!4d-74.1012775!16s%2Fg%2F11lcbglqf5!19sChIJ3Z8atT2eqgkRgrkJzynsV6Y?authuser=0&hl=en&rclk=1,5,Nutritionist,,(917) 994-1625,"""What sets her apart is her exceptional skill in customizing meal plans.""",
11,116,,"Melanie Daniel, RD - Dietitian Nutritionist","https://www.google.com/maps/place/Melanie+Daniel,+RD+-+Dietitian+Nutritionist/data=!4m7!3m6!1s0x89c2531e465c3e8d:0x70e3f8b89ee71764!8m2!3d40.740024!4d-74.1578754!16s%2Fg%2F11y73_266g!19sChIJjT5cRh5TwokRZBfnnrj443A?authuser=0&hl=en&rclk=1",,Nutritionist,777 S 3rd St,(617) 982-3658,,
12,116,,The Balanced Diet LLC,https://www.google.com/maps/place/The+Balanced+Diet+LLC/data=!4m7!3m6!1s0x6ef48414ed4a6d65:0xf6a208bb94e39a6e!8m2!3d40.237729!4d-74.8506264!16s%2Fg%2F11rylty6zq!19sChIJZW1K7RSE9G4RbprjlLsIovY?authuser=0&hl=en&rclk=1,5,Dietitian,,(347) 644-8747,,
13,116,,Total Health Nutrition by Lex,https://www.google.com/maps/place/Total+Health+Nutrition+by+Lex/data=!4m7!3m6!1s0x89c25562adef6b0b:0x1b31660c40919eea!8m2!3d40.073132!4d-74.724323!16s%2Fg%2F11jtlmk2cs!19sChIJC2vvrWJVwokR6p6RQAxmMRs?authuser=0&hl=en&rclk=1,5,Nutritionist,,,,
14,116,,Well Made Nutrition,https://www.google.com/maps/place/Well+Made+Nutrition/data=!4m7!3m6!1s0x89c255521d4cdf4d:0x356b962d4393d3e1!8m2!3d40.9229686!4d-74.1985954!16s%2Fg%2F11g6r1yg35!19sChIJTd9MHVJVwokR4dOTQy2WazU?authuser=0&hl=en&rclk=1,5,Nutritionist,,,,
15,116,,"Karen S. Basedow, RD","https://www.google.com/maps/place/Karen+S.+Basedow,+RD/data=!4m7!3m6!1s0x89c2532a1c20ceef:0xf5a5c0d9dc409264!8m2!3d40.7090584!4d-74.2124756!16s%2Fg%2F1tfx5tfz!19sChIJ784gHCpTwokRZJJA3NnApfU?authuser=0&hl=en&rclk=1",5,Nutritionist,166 Lyons Ave,(973) 926-3312,"""very knowledgeable, amazing personality.""",
16,116,,Transformherhealth,https://www.google.com/maps/place/Transformherhealth/data=!4m7!3m6!1s0x89c2556922f72771:0x7f653d0cfbfc16f1!8m2!3d40.7433135!4d-74.207779!16s%2Fg%2F11pzk1dq0q!19sChIJcSf3ImlVwokR8Rb8-ww9ZX8?authuser=0&hl=en&rclk=1,5,Coaching center,511 S Orange Ave,,Online appointments,
17,116,,Esjacio Saludable Llc*DrJimmy's Herbs,https://www.google.com/maps/place/Esjacio+Saludable+Llc*DrJimmy%27s+Herbs/data=!4m7!3m6!1s0x89c253910d052c93:0xaea8657bea5761d7!8m2!3d40.7270143!4d-74.1549274!16s%2Fg%2F1pty_zmt7!19sChIJkywFDZFTwokR12FX6ntlqK4?authuser=0&hl=en&rclk=1,4.9,Health food store,32 Wilson Ave,(862) 452-5709,In-store shopping,
18,116,,Rebecca Herman RD,https://www.google.com/maps/place/Rebecca+Herman+RD/data=!4m7!3m6!1s0x89c24d622f94c68f:0x8dd05791f2131076!8m2!3d40.661529!4d-74.1954596!16s%2Fg%2F11n0tj8fm3!19sChIJj8aUL2JNwokRdhAT8pFX0I0?authuser=0&hl=en&rclk=1,5,Nutritionist,,(908) 220-7556,"""She has helped me so much with my confidence and my relationship with food.""",
19,116,,"Christa Brown | Registered Dietitian Nutritionist | Weight, Diabetes and More","https://www.google.com/maps/place/Christa+Brown+%7C+Registered+Dietitian+Nutritionist+%7C+Weight,+Diabetes+and+More/data=!4m7!3m6!1s0x89c3b5aa3351d72f:0x40778b0f6aca1315!8m2!3d40.5670197!4d-74.3339797!16s%2Fg%2F11mw502m89!19sChIJL9dRM6q1w4kRFRPKag-Ld0A?authuser=0&hl=en&rclk=1",4.9,Nutritionist,,(732) 343-4805,"""She helped me manage my pre diabetes and high cholesterol.""",
20,116,,East Newark Nutrition,https://www.google.com/maps/place/East+Newark+Nutrition/data=!4m7!3m6!1s0x89c255ac330696b5:0xebec263fab71f0ae!8m2!3d40.7502459!4d-74.1593883!16s%2Fg%2F11vzv89ykm!19sChIJtZYGM6xVwokRrvBxqz8m7Os?authuser=0&hl=en&rclk=1,3,Nutritionist,401 N 2nd St,(732) 366-9369,,
21,116,,Mom-N-Tot Nutrition,https://www.google.com/maps/place/Mom-N-Tot+Nutrition/data=!4m7!3m6!1s0x89c3ab54eb29accd:0x40e751073a48bb92!8m2!3d40.8344924!4d-74.1806317!16s%2Fg%2F11f5v3c623!19sChIJzawp61Srw4kRkrtIOgdR50A?authuser=0&hl=en&rclk=1,5,Nutritionist,1285 Broad St,(973) 932-0644,Onsite services,
22,116,,The Nutrition Sisters,https://www.google.com/maps/place/The+Nutrition+Sisters/data=!4m7!3m6!1s0x89c255622d6cb05f:0xe1459a41aa1993ac!8m2!3d40.808654!4d-74.1191031!16s%2Fg%2F11n0c01r6_!19sChIJX7BsLWJVwokRrJMZqkGaReE?authuser=0&hl=en&rclk=1,5,Nutritionist,576 Valley Brook Ave Ste M1,(646) 389-9196,"""Very friendly and helpful.""",
23,116,,Nutrition spot,https://www.google.com/maps/place/Nutrition+spot/data=!4m7!3m6!1s0x89c3ad389ba22c91:0x23db0e33b09335e4!8m2!3d40.7305112!4d-74.2443298!16s%2Fg%2F11f731w913!19sChIJkSyimzitw4kR5DWTsDMO2yM?authuser=0&hl=en&rclk=1,5,Nutritionist,165 Franklin Terrace,(862) 452-3648,,
24,116,,Herbalife MLM NUTRITION,https://www.google.com/maps/place/Herbalife+MLM+NUTRITION/data=!4m7!3m6!1s0x89c25340400f3783:0x368ca6664262eaf6!8m2!3d40.7249574!4d-74.1669109!16s%2Fg%2F11rgg45hs7!19sChIJgzcPQEBTwokR9upiQmamjDY?authuser=0&hl=en&rclk=1,5,Sports nutrition store,90 Pacific St,(862) 208-8116,,
25,116,,NutriCultures,https://www.google.com/maps/place/NutriCultures/data=!4m7!3m6!1s0x89c2534ff61b1929:0xedb3badf23d0514!8m2!3d40.8106437!4d-74.2137418!16s%2Fg%2F11hf73rxd8!19sChIJKRkb9k9TwokRFAU98q072w4?authuser=0&hl=en&rclk=1,5,Nutritionist,292 Bloomfield Ave Fl 2,(201) 207-2158,"""Very clear in relating all information.""",
26,116,,"Natalie Y. Roberts-Moore, MS","https://www.google.com/maps/place/Natalie+Y.+Roberts-Moore,+MS/data=!4m7!3m6!1s0x89c254abed16cdd1:0x67826a5d0a284edc!8m2!3d40.7523081!4d-74.2134659!16s%2Fg%2F1v3lqwbp!19sChIJ0c0W7atUwokR3E4oCl1qgmc?authuser=0&hl=en&rclk=1",5,Nutritionist,,(973) 674-8100,,
27,116,,Pathway Nutrition LLC,https://www.google.com/maps/place/Pathway+Nutrition+LLC/data=!4m7!3m6!1s0x8e7c47c46d997203:0x843ad04f83bc2c32!8m2!3d40.9014095!4d-73.9796294!16s%2Fg%2F11vwdsrggy!19sChIJA3KZbcRHfI4RMiy8g0_QOoQ?authuser=0&hl=en&rclk=1,5,Dietitian,,(516) 234-0819,,
28,116,,Callie Exas Nutrition & Wellness,https://www.google.com/maps/place/Callie+Exas+Nutrition+%26+Wellness/data=!4m7!3m6!1s0x4e98d8838546b2e1:0x3eca65922b6bdf2e!8m2!3d46.423669!4d-129.9427086!16s%2Fg%2F11y7b74sbq!19sChIJ4bJGhYPYmE4RLt9rK5Jlyj4?authuser=0&hl=en&rclk=1,5,Nutritionist,,,"""I highly recommend working with her!""",
29,116,,East West Nutrition,https://www.google.com/maps/place/East+West+Nutrition/data=!4m7!3m6!1s0x89c2ffc30d634351:0x793f9ca0b2ba2769!8m2!3d46.423669!4d-129.9427086!16s%2Fg%2F11g8cyj1s6!19sChIJUUNjDcP_wokRaSe6sqCcP3k?authuser=0&hl=en&rclk=1,5,Nutritionist,,(973) 495-9237,"""Cam takes the time to listen and study the full picture.""",
30,116,,The Balanced Diet LLC,https://www.google.com/maps/place/The+Balanced+Diet+LLC/data=!4m7!3m6!1s0x88e4a0c5ef24e0b:0x6075f3faf16c92d5!8m2!3d40.7780585!4d-74.079162!16s%2Fg%2F11smhvt0yc!19sChIJC07yXgxKjggR1ZJs8frzdWA?authuser=0&hl=en&rclk=1,,Dietitian,,(347) 644-8747,,
31,75,,Laura Lacey Nutrition,https://www.google.com/maps/place/Laura+Lacey+Nutrition/data=!4m7!3m6!1s0x89c2574d723709d1:0x22b15be0c1c219a!8m2!3d46.423669!4d-129.9427086!16s%2Fg%2F1thvtm19!19sChIJ0Qk3ck1XwokRmiEcDL4VKwI?authuser=0&hl=en&rclk=1,5,Nutritionist,,,,
32,75,,Jalpa Sheth Nutrition & Wellness LLC,https://www.google.com/maps/place/Jalpa+Sheth+Nutrition+%26+Wellness+LLC/data=!4m7!3m6!1s0x89c2576d4613fa25:0x3851645ad61ed050!8m2!3d40.7189857!4d-74.034424!16s%2Fg%2F11gdpzfcln!19sChIJJfoTRm1XwokRUNAe1lpkUTg?authuser=0&hl=en&rclk=1,4.8,Nutritionist,"185 Hudson St 5, Suite 2500",(201) 927-0648,"""The meal plan I got was so easy to follow and the meals were tasty.""",
33,75,,Center for Medical Nutrition Therapy- Marilyn R Quintana RDN,https://www.google.com/maps/place/Center+for+Medical+Nutrition+Therapy-+Marilyn+R+Quintana+RDN/data=!4m7!3m6!1s0x89c250ddd153c22d:0x4784ccb7d7507c0b!8m2!3d40.7329633!4d-74.0592495!16s%2Fg%2F1v3kjf4r!19sChIJLcJT0d1QwokRC3xQ17fMhEc?authuser=0&hl=en&rclk=1,3.8,Nutritionist,550 Summit Ave,(201) 744-0542,"""Jalpa Sheth helped me successfully navigate my nutritional issues.""",
34,75,,Pathway Nutrition LLC,https://www.google.com/maps/place/Pathway+Nutrition+LLC/data=!4m7!3m6!1s0x8e7c47c46d997203:0x843ad04f83bc2c32!8m2!3d40.9014095!4d-73.9796294!16s%2Fg%2F11vwdsrggy!19sChIJA3KZbcRHfI4RMiy8g0_QOoQ?authuser=0&hl=en&rclk=1,5,Dietitian,,(551) 486-6604,"""Helped us understand the basics and improve diet plan.""",
35,75,,Well By Mel Nutrition | Prenatal Dietitian,https://www.google.com/maps/place/Well+By+Mel+Nutrition+%7C+Prenatal+Dietitian/data=!4m7!3m6!1s0x38c69697e85e5:0x288554b449586147!8m2!3d40.9371538!4d-73.8207747!16s%2Fg%2F11vyvj7wg9!19sChIJ5YV-aWmMAwARR2FYSbRUhSg?authuser=0&hl=en&rclk=1,5,Dietitian,,(516) 234-0819,,
